id,value,class,positive,date,comment
69,0.11196125782942179,E,false,Sun Aug 26 2018,[l<\&\hk?v
9,0.4275042799805804,G,false,Wed Nov 07 2018,bt`b^r=:=p
30,0.6308240053798442,G,true,Sat Nov 03 2018,^#r)g~-rj#
71,0.3681930537278635,F,true,Fri Nov 02 2018,[?~~[;;[p;
35,0.9323985106370969,E,false,Wed Aug 29 2018,?|;]%leu^[
67,0.678692854224241,B,true,Wed Dec 12 2018,%qi)([)in&
10,0.37077813493533407,E,true,Mon Nov 05 2018,h>$tbg,|,v
24,0.49958563178826765,C,false,Tue Nov 13 2018,};?<ctc/oo
10,0.3059311870383088,A,true,Fri Aug 24 2018,!*hw?`h^uv
56,0.8705775001833762,F,false,Sat Nov 24 2018,["d`pisp^s
7,0.9835394930510319,A,true,Wed Nov 14 2018,+_a[:t\"~,
22,0.379967164971154,A,true,Tue Nov 06 2018,`.$`yy,/s.
0,0.740155077201128,G,false,Mon Oct 29 2018,h&->oy}@$`
41,0.8698277874036953,E,false,Wed Jul 25 2018,{i#%}~+=t|
32,0.9830507595580291,D,false,Mon Dec 10 2018,";u!+rci^!
65,0.6835013204740246,G,true,Thu Aug 02 2018,dj++}fdv((
88,0.26775827688532106,B,false,Fri Aug 31 2018,{;p&*;)a|]
57,0.09276458240594576,D,true,Sun Jul 29 2018,_x};ku(}vv
58,0.05521656161016386,D,true,Tue Jul 31 2018,kksufx<x>]
95,0.3488672133147339,A,false,Mon Nov 05 2018,"k#yi|)p<+
21,0.20550071321672791,G,false,Fri Aug 17 2018,t?xq>av@i\
71,0.49426887665320196,C,true,Wed Nov 21 2018,pur)fiw*zc
63,0.5529635179865209,A,false,Sat Oct 27 2018,c:t<t^=@b|
53,0.022336206210537224,A,false,Sat Dec 01 2018,`$*#fn:h|`
65,0.27855355467471,A,true,Sat Aug 25 2018,!.:=i~l<wj
81,0.3838757994923716,B,false,Sat Oct 27 2018,^n%u:h=`.u
87,0.36367082844241416,B,false,Sat Dec 01 2018,-%@/m@k*k:
62,0.3420395654442596,D,true,Wed Jul 18 2018,_w<}?p<ixu
12,0.43047495030825544,C,false,Wed Aug 08 2018,-@jztu|jn.
32,0.4885318699504497,C,false,Thu Nov 08 2018,@,j_tzppu{
53,0.46222375101103785,F,false,Tue Jul 31 2018,/cw[ex>..)
71,0.6244467426549847,G,false,Sat Dec 08 2018,.<["_cem#!
33,0.5473967674208742,C,false,Tue Aug 21 2018,t`_ex[[_`@
83,0.8936527240704983,B,true,Sun Aug 19 2018,<`c-z/c$~j
51,0.7756570624213177,G,true,Wed Nov 14 2018,[j:>rvq]cl
46,0.28157629525799344,G,false,Sat Nov 03 2018,?=-^ii?=uk
29,0.3946932421844842,B,true,Thu Nov 08 2018,*:o$k:o(zk
39,0.7401389271975052,D,true,Mon Aug 13 2018,dh[}ak`^n[
92,0.6559226495290864,G,false,Mon Nov 19 2018,]m),]d&`o<
51,0.8140347403552199,C,true,Wed Nov 07 2018,w^g:`-<e}r
41,0.08320878427139755,B,false,Sun Dec 02 2018,$rbw@p}+i:
81,0.3686304508522129,C,true,Fri Jul 27 2018,d--<`dgg[\
26,0.05398257581260735,C,false,Sun Nov 18 2018,!v!/m/@[gg
24,0.19238676470760585,C,false,Tue Jul 17 2018,yx;=~>h$y&
47,0.09725069330649427,A,true,Wed Nov 28 2018,=g}--wrzh|
32,0.4319625432043779,F,true,Sun Aug 05 2018,{_>q!_{k$y
